Game;Player;Points;Question;Answer;Props;Prize
1;1;-1;ВОПРОС БЛИЦА: Я люблю пить чай и делаю это по-купечески. А мой племянник, я бы сказал, по-купечески делает совсем другое, и для этого ему блюдце не нужно, а нужен предмет, который сейчас находится в чёрном ящике. Что же находится в чёрном ящике? ;Телефон;Чёрный ящик с телефоном;50000
1;2;1;Во второй половине XIX века Карл Вундерлих и его помощники за 15 лет сделали более миллиона измерений, в которых участвовали жители Лейпцига. Каждый из нас знает результат того исследования. Каков же результат? ;36,6;NULL;0
1;3;-1;ВОПРОС СУПЕРБЛИЦА: Какой мифологический персонаж, согласно английской пословице, утопил больше людей, чем Нептун? ;Дионис, или Бахус;NULL;60000
1;4;1;Когда хоккейной команде во что бы то ни стало нужно забить, тренеры порой используют вот такую расстановку. Эта расстановка называется так же, как известный вам предмет, который использует известная вам команда. Что это за предмет? ;Конверт;Конверт;0
1;5;-1;Они всегда рады увидеть усы или бороду, но особенно — спину и затылок. О людях какой профессии идёт речь? ;Актёры дубляжа;NULL;220000
1;6;1;"Внимание, чёрный ящик!
В чёрном ящике находится то, что является атрибутом того, что Николай Гоголь назвал хаосом искусств, в котором всё отзывается чем-то похожим на погребальную процессию: зал всегда как-то мрачен, окна загромождены мебелями. Что в чёрном ящике? ";Аукцион;Чёрный ящик с аукционным молотком;80000
1;7;1;"Внимание, иллюстрации!
Перед вами три рисунка из книги «Военные упражнения для мушкета и пики». Вот так нужно заряжать ружьё, так надо целиться, а так — продувать ружьё после выстрела. Кто в своё время изучал эту книгу и с какой целью? ";"Рембрандт, для написания ""Ночного дозора""";Иллюстрации;0
1;8;-1;Имя её вам не известно. А что вам известно о той, что мечтала о том, чтобы её имя оказалось на том, что могло выглядеть вот так? ;Она мечтала быть столбовой дворянкой;NULL;105000
1;9;-1;Сначала посмотрите на часы, которые сегодня хранятся в Музее истории Еревана. Первые городские часы были заказаны знаменитому мастеру из Тифлиса, изготовлены на средства горожан и установлены в 1891 году на здании полицейского управления Еревана. Вскоре под часами пришлось организовать специальный пост. Из-за чего пришлось установить этот пост, и что входило в обязанности караульного?;Вороны садились на стрелки часов и караульный должен был их отстреливать;NULL;90000
1;10;-1;«Он иной раз проговаривается о том, о чём человек умалчивает. Это самое существенное в человеке, как бы квинтэссенция личности, всё передается в нём, как в крохотной миниатюре». О чём так сказал Стефан Цвейг?;Почерк;NULL;100000
2;11;-1;Сложное рентгеновское сканирование выявило, что в красках определённого цвета, в состав которых входит хромат свинца, начался процесс восстановления шестивалентного хрома до трёхвалентного. Пока невооружённым взглядом это не видно, но через какое-то время, по мнению учёных, эти произведения XIX века может постигнуть участь моделей. Какие произведения исследовали учёные?;Подсолнухи Ван Гога;Картина;200000
2;12;-1;ВОПРОС БЛИЦА: Для кого придумали сетку, которую вы видите на экране? ;Для отработки футболистами ударов по углам ворот;NULL;60000
2;13;-1;"Внимание, чёрный ящик!
Его триумфальная дрожь, его сердитый шёпот и игривое лёгкое постукивание. То, о чём так сказал английский писатель XVIII века Соам Дженинс, находится сейчас в чёрном ящике. Что там? ";Веер;Чёрный ящик с веером;70000
2;14;1;"Современная канадская писательница Маргарет Элеанор Этвуд говорила о том, что стихотворение XVII века показало ей, как знакомое и странное зависят друг от друга. Что она имела в виду? Стихотворение:

    Я видел павлина с хвостом огневым 
    я видел комету с лицом дождевым 
    я видел тучу на грядке растущую 
    я видел репу по кочке ползущую 
    я видел улитку сома проглотившую… ";Расстановку запятых;NULL;80000
2;15;-1;Художник Василий Суриков вспоминал, как однажды побывал на репетиции в студии Московского Художественного театра. На этой репетиции режиссёр пытался добиться того, чтобы актёр в конце душераздирающего монолога выразил крик своей души, но только мимикой и пластикой. Как режиссёр добивался поставленной задачи? Что он многократно заставлял делать актёра? ;Кричать молча;NULL;80000
2;16;-1;"Телезрители сняли свой вопрос в городке Дейнтри на северо-востоке Австралии.
Мы находимся с вами на северо-востоке Австралии в тропическом регионе Дейнтри. Здесь вдоль дорог местные жители устанавливают вышедшие из строя микроволновые печи. Для чего они используются? ";Вместо почтовых ящиков;NULL;90000
2;17;-1;ВОПРОС СУПЕРБЛИЦА: В Эквадоре на упаковке макаронных изделий можно встретить разное время приготовления — 8 минут и 12. От чего зависит время приготовления? ;В горах температура кипения ниже;NULL;100000
3;18;-1;ВОПРОС СУПЕРБЛИЦА: Закончите афоризм великого хоккеиста Уэйна Гретцки: «Хорошие игроки находятся там, где шайба, а великие — там…». ;…где будет;NULL;50000
3;19;1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  По словам автора, название роману было дано в основном потому, что он был опубликован в тысяча восемьсот шестидесятом году. ;Накануне;NULL;0
